Rule Name,Policy Name,HitCount,First Hit Time,Last Hit Time
DNS_Service,BCP-CLT-ACP,4345051859,2020-09-22 21:48:02 UTC -5,2020-11-19 14:12:46 UTC -5
SYSLOG_Service,BCP-CLT-ACP,240059,2020-09-22 21:49:38 UTC -5,2020-11-19 14:12:44 UTC -5
SNMP_Service,BCP-CLT-ACP,73,2020-10-10 23:41:03 UTC -5,2020-11-18 22:01:35 UTC -5
NTP_Service,BCP-CLT-ACP,356484,2020-09-22 21:49:14 UTC -5,2020-11-19 14:12:40 UTC -5
OTHERS_Services,BCP-CLT-ACP,2259100529,2020-09-22 21:48:02 UTC -5,2020-11-19 14:12:46 UTC -5
SRVS_ATLAS_to_F5_VIP_TTIB,BCP-CLT-ACP,26844826,2020-09-18 12:29:55 UTC -5,2020-11-19 14:12:46 UTC -5
PROT_F5_VIP_HSM_REST,BCP-CLT-ACP,46,2020-10-07 09:57:40 UTC -5,2020-10-24 23:30:52 UTC -5
F5_INT_FISICA_LTM_to_SRV_HSM,BCP-CLT-ACP,5105327,2020-09-15 04:23:05 UTC -5,2020-11-19 14:12:44 UTC -5
F5_SNAT_TTIB_to_SRV_HSM,BCP-CLT-ACP,50173141,2020-09-15 04:23:05 UTC -5,2020-11-19 14:12:44 UTC -5
SRV_HSM_REST,BCP-CLT-ACP,30,2020-09-16 18:31:23 UTC -5,2020-11-18 19:59:08 UTC -5
ADDM_DISCOVERY,BCP-CLT-ACP,10341855,2020-10-19 23:36:38 UTC -5,2020-11-19 14:10:59 UTC -5
EXCEPTION_JENKINS,BCP-CLT-ACP,74678,2020-10-06 22:29:22 UTC -5,2020-11-19 14:11:31 UTC -5
EXCEPTION_HOME-OFFICE_DST,BCP-CLT-ACP,0, , 
EXCEPTION_HOME-OFFICE_SRC,BCP-CLT-ACP,83,2020-10-09 08:38:25 UTC -5,2020-11-18 11:35:07 UTC -5
EXCEPTION_SOGI,BCP-CLT-ACP,0, , 
EXCEPTION_SIC,BCP-CLT-ACP,2,2020-10-23 14:12:53 UTC -5,2020-10-23 14:29:46 UTC -5
TMP_1,BCP-CLT-ACP,38605,2020-10-06 22:19:46 UTC -5,2020-11-19 13:38:02 UTC -5
TMP_ADGROUPS,BCP-CLT-ACP,55641,2020-10-07 08:15:28 UTC -5,2020-11-19 14:12:05 UTC -5
TMP_3_QUALYS,BCP-CLT-ACP,23360,2020-10-09 22:05:48 UTC -5,2020-11-19 13:15:25 UTC -5
EXCEPCION1_TBIE_SRC,BCP-CLT-ACP,0, , 
EXCEPCION1_TBIE_DST,BCP-CLT-ACP,77731,2020-10-18 19:28:34 UTC -5,2020-11-19 14:12:35 UTC -5
TMP_3_PIVOT-PROD,BCP-CLT-ACP,124,2020-10-07 08:19:03 UTC -5,2020-11-19 10:40:40 UTC -5
TMP_3_PIVOT_AGILOPS,BCP-CLT-ACP,12,2020-11-15 11:26:25 UTC -5,2020-11-15 15:39:07 UTC -5
TMP_3,BCP-CLT-ACP,7181025,2020-07-18 21:40:46 UTC -5,2020-11-19 14:12:44 UTC -5
TMP_4,BCP-CLT-ACP,22,2020-09-18 15:21:26 UTC -5,2020-10-21 11:03:21 UTC -5
TMP_4 (1),BCP-CLT-ACP,127877,2020-07-18 21:40:42 UTC -5,2020-11-19 14:11:46 UTC -5
TMP_5,BCP-CLT-ACP,0, , 
TMP_6,BCP-CLT-ACP,783334,2020-07-22 07:21:44 UTC -5,2020-11-19 14:12:37 UTC -5
TMP_7,BCP-CLT-ACP,1,2020-09-19 22:27:40 UTC -5,2020-09-19 22:27:40 UTC -5
to_MongoDB,BCP-CLT-ACP,426447,2020-10-06 22:25:17 UTC -5,2020-11-19 13:57:28 UTC -5
TMP_CITRIX_to_TLC,BCP-CLT-ACP,204735,2020-10-07 06:29:52 UTC -5,2020-11-19 14:12:46 UTC -5
AUTH_USERS_to_TLC_Test,BCP-CLT-ACP,391494,2020-10-06 22:43:22 UTC -5,2020-11-19 14:12:34 UTC -5
Temp_Campus_to_TLC,BCP-CLT-ACP,15164,2020-10-07 08:25:14 UTC -5,2020-11-19 13:10:01 UTC -5
AUTH_USERS_to_TLC,BCP-CLT-ACP,141989,2020-10-07 07:30:47 UTC -5,2020-11-19 14:12:29 UTC -5
UNAUTH_USERS_to_TLC,BCP-CLT-ACP,4271,2020-07-19 01:52:01 UTC -5,2020-11-19 11:54:24 UTC -5
AUTH_USERS_to_PABE,BCP-CLT-ACP,0, , 
UNAUTH_USERS_to_PABE,BCP-CLT-ACP,0, , 
SRVS_TCL_EXT_to_SRVS_TLC_INT,BCP-CLT-ACP,4219327,2020-10-06 22:19:47 UTC -5,2020-11-19 14:12:44 UTC -5
SRVS_TLC_INT_to_SRVS_TCL_EXT,BCP-CLT-ACP,17205,2020-10-07 04:57:51 UTC -5,2020-11-19 13:00:00 UTC -5
SRVS_TLC_LM_to_SRVS_TCL_CH,BCP-CLT-ACP,592945,2020-10-06 22:19:56 UTC -5,2020-11-19 14:12:44 UTC -5
SRVS_TLC_CH_to_SRVS_TCL_LM,BCP-CLT-ACP,107065,2020-10-19 23:36:44 UTC -5,2020-11-19 14:12:38 UTC -5
MGMT_SQUAD_TLC,BCP-CLT-ACP,0, , 
MGMT_SQUAD_TLC_TMP,BCP-CLT-ACP,234,2020-11-08 10:22:12 UTC -5,2020-11-19 13:56:44 UTC -5
PAM_ACCESS,BCP-CLT-ACP,5438,2020-10-06 22:24:38 UTC -5,2020-11-19 12:43:23 UTC -5
PAM_RESTRICTION,BCP-CLT-ACP,1716,2020-07-19 01:48:08 UTC -5,2020-11-19 14:03:33 UTC -5
DESA_CERT_to_OUTSIDE,BCP-CLT-ACP,731223658,2020-10-06 22:19:44 UTC -5,2020-11-19 14:12:46 UTC -5
OUTSIDE_to_DESA_CERT,BCP-CLT-ACP,207412892,2020-10-06 22:19:44 UTC -5,2020-11-19 14:12:46 UTC -5
Default Action,BCP-CLT-ACP,24365833091,2020-07-18 21:40:35 UTC -5,2020-11-19 14:12:46 UTC -5
